threshold,precision,recall,f1_score
0.05,0.1868,0.9559,0.3125
0.06,0.1988,0.9559,0.3291
0.07,0.2045,0.9412,0.336
0.08,0.214,0.9412,0.3488
0.09,0.2207,0.9412,0.3575
0.1,0.2294,0.9412,0.3689
0.11,0.237,0.9412,0.3787
0.12,0.2386,0.9265,0.3795
0.13,0.2403,0.9118,0.3804
0.14,0.2451,0.9118,0.3863
0.15,0.247,0.9118,0.3887
0.16,0.251,0.9118,0.3937
0.17,0.2583,0.9118,0.4026
0.18,0.2616,0.9118,0.4066
0.19,0.2661,0.9118,0.412
0.2,0.2719,0.9118,0.4189
0.21,0.2756,0.9118,0.4232
0.22,0.2818,0.9118,0.4306
0.23,0.2925,0.9118,0.4429
0.24,0.2952,0.9118,0.446
0.25,0.301,0.9118,0.4526
0.26,0.3024,0.9118,0.4542
0.27,0.3005,0.8971,0.4502
0.28,0.3035,0.8971,0.4535
0.29,0.3065,0.8971,0.4569
0.3,0.3112,0.8971,0.4621
0.31,0.3144,0.8971,0.4656
0.32,0.3211,0.8971,0.4729
0.33,0.3315,0.8971,0.4841
0.34,0.3352,0.8971,0.488
0.35,0.3466,0.8971,0.5
0.36,0.3486,0.8971,0.5021
0.37,0.3547,0.8971,0.5083
0.38,0.3653,0.8971,0.5191
0.39,0.3697,0.8971,0.5236
0.4,0.3765,0.8971,0.5304
0.41,0.391,0.8971,0.5446
0.42,0.3987,0.8971,0.552
0.43,0.3987,0.8971,0.552
0.44,0.4094,0.8971,0.5622
0.45,0.4207,0.8971,0.5728
0.46,0.4296,0.8971,0.581
0.47,0.4317,0.8824,0.5797
0.48,0.438,0.8824,0.5854
0.49,0.4412,0.8824,0.5882
0.5,0.4444,0.8824,0.5911
0.51,0.447,0.8676,0.59
0.52,0.4538,0.8676,0.596
0.53,0.472,0.8676,0.6114
0.54,0.4836,0.8676,0.6211
0.55,0.4876,0.8676,0.6243
0.56,0.4958,0.8676,0.631
0.57,0.5088,0.8529,0.6374
0.58,0.5135,0.8382,0.6369
0.59,0.5327,0.8382,0.6514
0.6,0.5429,0.8382,0.659
0.61,0.5481,0.8382,0.6628
0.62,0.57,0.8382,0.6786
0.63,0.5816,0.8382,0.6867
0.64,0.5938,0.8382,0.6951
0.65,0.5938,0.8382,0.6951
0.66,0.6,0.8382,0.6994
0.67,0.6087,0.8235,0.7
0.68,0.6087,0.8235,0.7
0.69,0.6154,0.8235,0.7044
0.7,0.6292,0.8235,0.7134
0.71,0.6292,0.8235,0.7134
0.72,0.625,0.8088,0.7051
0.73,0.6395,0.8088,0.7143
0.74,0.6353,0.7941,0.7059
0.75,0.6585,0.7941,0.72
0.76,0.675,0.7941,0.7297
0.77,0.6835,0.7941,0.7347
0.78,0.7013,0.7941,0.7448
0.79,0.7105,0.7941,0.75
0.8,0.7105,0.7941,0.75
0.81,0.7105,0.7941,0.75
0.82,0.7465,0.7794,0.7626
0.83,0.7681,0.7794,0.7737
0.84,0.7761,0.7647,0.7704
0.85,0.7969,0.75,0.7727
0.86,0.7969,0.75,0.7727
0.87,0.8197,0.7353,0.7752
0.88,0.8167,0.7206,0.7656
0.89,0.8393,0.6912,0.7581
0.9,0.8679,0.6765,0.7603
0.91,0.8627,0.6471,0.7395
0.92,0.8627,0.6471,0.7395
0.93,0.8936,0.6176,0.7304
0.94,0.8913,0.6029,0.7193
0.95,0.8718,0.5,0.6355
